,category,headline,authors,link,short_description,date
4233,POLITICS,Tomi Lahren Claims Low-Skilled Immigrants Are 'Not What This Country Is Based On',Akbar Shahid Ahmed,https://www.huffingtonpost.com/entry/tomi-lahren-immigration-is-not-what-this-country-is-based-on_us_5af847dbe4b032b10bfb9cf3,The Fox News pundit gave a dubious history lesson to defend White House chief of staff John Kelly.,2018-05-13
4234,POLITICS,Elizabeth Warren Rips Donald Trump After He Suggests She Was Desperate For VP Slot,Sam Levine,https://www.huffingtonpost.com/entry/elizabeth-warren-donald-trump_us_5793877ee4b0d3568f8375e8,Warren won't stop going after Trump anytime soon.,2016-07-23
4235,POLITICS,House Gears Up To Vote On No Child Left Behind Rewrite,"JENNIFER C. KERR, AP",https://www.huffingtonpost.com/entry/no-child-left-behind-rewrite_us_565f0e27e4b079b2818caef8,A compromise bill was a long time coming.,2015-12-02
4236,STYLE,The Difference Between Photographing Fashion And Politics Isn’t As Stark As You’d Think,James Cave,https://www.huffingtonpost.com/entry/landon-nordeman-photography_us_57cf1555e4b03d2d4596bdc5,Landon Nordeman has shot it all.,2016-09-07
4237,POLITICS,"Hillary Clinton Won The First Presidential Debate, Polling Finds",Ariel Edwards-Levy,https://www.huffingtonpost.com/entry/poll-hillary-clinton-won-first-presidential-debate_us_57ec15c5e4b082aad9b8be8a,Donald Trump was viewed as ill-prepared.,2016-09-28
4238,POLITICS,Climate Change Gets Its Due In The Democratic Debate,Kate Sheppard,https://www.huffingtonpost.com/entry/climate-change-democratic-debate_us_561da270e4b028dd7ea5abe0,"""The future of the planet is at stake.""",2015-10-14
4239,POLITICS,Democrat Says Obama Made 'Serious Mistake' On Russian Hacking,Sam Levine,https://www.huffingtonpost.com/entry/adam-schiff-russian-hacking_us_594fd2dfe4b02734df2b0c57,"But Donald Trump ""is in no position"" to whine about it.",2017-06-25
4240,POLITICS,Amy Schumer Hints She Will Push To Reduce Gun Violence,Sam Levine,https://www.huffingtonpost.com/entry/amy-schumer-lafayette-shooting_us_55bced15e4b06363d5a268cd,An activist had called on her to do more after two women were killed during a showing of the comedian's latest movie.,2015-08-01
4241,STYLE,Celebration b michael Spring 2015,"Yvonna Russell, ContributorWriter",https://www.huffingtonpost.com/entry/celebration-b-michael-spr_b_5815894.html,"Art openings, theatre opening nights, The Academy Awards,The Kentucky Derby, White House state dinners. The b Michael AMERICA Spring collection shown at the Pavilion during New York's Mercedes-Benz Fashion Week signaled the celebration of events in American style.",2014-09-16
4242,POLITICS,,Jonathan Cohn,https://www.huffingtonpost.com/entry/bernie-sanders-michigan_us_56c354ffe4b08ffac1269393,Thousands of Sanders supporters waited in the freezing rain to see him in Michigan.,2016-02-16
4243,POLITICS,"News Roundup for June 28, 2017","Outspeak, ContributorOutspeak™ is the opinion outlet for digital storytellers every...",https://www.huffingtonpost.com/entry/news-roundup-for-june-28-2017_us_5953df58e4b0f078efd986a6,Every day there’s more news. When will it end? 1. Three Chicago police have been indicted in Laquan McDonald’s shooting death,2017-06-28
4244,POLITICS,Does The Democratic Party Have A Progressive Platform -- And Does It Matter?,"Lawrence Wittner, ContributorProfessor of History emeritus, SUNY/Albany",https://www.huffingtonpost.com/entry/does-the-democratic-party-have-a-progressive-platform_us_57c1e12ce4b06384eb3ff241,"Although Sanders forces didn’t obtain all they wanted in their negotiations with the Clinton campaign, they did secure an avant-garde platform.",2016-08-27
4245,POLITICS,Here's How You Can Protect Those Affected By DACA's Elimination,"Leslie Arreaza, ContributorStudent, Activist",https://www.huffingtonpost.com/entry/daca-was-rescinded-and-heres-what-you-can-do-to-protect_us_59b7fce5e4b08f6632c07716,1. Call your representatives. You can find who you’re representatives are at https://whoismyrepresentative.com/ If you want,2017-09-12
4246,POLITICS,Tuesday's Morning Email: The Aftermath Of The United Airlines Incident,Lauren Weber,https://www.huffingtonpost.com/entry/tuesdays-morning-email-the-aftermath-of-the-united-airlines-incident_us_58ecb3dee4b0ca64d91903f8,Including the full text of the CEO's controversial letter.,2017-04-11
4247,POLITICS,"Staying Alive, Staying Human","Ira Glasser, ContributorExecutive Director, ACLU (1978-2001, Retired) and President of...",https://www.huffingtonpost.com/entry/staying-alive-staying-human_us_589b4c68e4b09bd304bf2cc0,"Ben Stern, now 95 years old, was still a teenager when the Nazis invaded Mogielnice, the small town outside Warsaw where",2017-02-08
4248,STYLE,Black Friday and Cyber Monday Shopping Tips,"Jay Miranda, ContributorBlogger at jaymiranda.com",https://www.huffingtonpost.com/entry/black-friday-and-cyber-monday-shopping-tips_b_6224090.html,"When it comes to online shopping, know your measurements and use the size charts. If you are like me, you'll be grabbing that extra serving of stuffing (my favorite) the evening before -- and the morning after. So know your size before then so you can ensure a perfect fit.",2014-11-27
4249,POLITICS,Progressive Democrat Blasted By Her Own Party Advances In Texas Primary,Daniel Marans,https://www.huffingtonpost.com/entry/laura-moser-advances-texas-democratic-primary_us_5a9f11afe4b0d4f5b66b3899,Laura Moser used a broadside from the national party to her advantage. She places second in the primary.,2018-03-07
4250,POLITICS,When Is Difference A Big Pain In The Neck? When We Can’t HEAR Each Other!,"Caroline Turner, ContributorPrincipal, DifferenceWORKS, LLC. which helps leaders leverage ...",https://www.huffingtonpost.com/entry/when-is-difference-a-big-pain-in-the-neck-when-we_us_59738310e4b0545a5c31007b,Difference works. The name of my business (and mission) challenge me at times when I deal with people think differently than,2017-07-22
4251,STYLE,Patagonia Just Made Another Major Move To Save The Earth And Your Wallet,Jamie Feldman,https://www.huffingtonpost.com/entry/patagonia-return-old-clothes_us_588f8066e4b02772c4e81e8d,"It's great news for vintage lovers, too.",2017-01-30
4252,POLITICS,Lying To The Press Is Nothing New For The President,"Zac Thompson, ContributorOutspeak Editor - in partnership with Huff Post",https://www.huffingtonpost.com/entry/lying-to-the-press-is-nothing-new-for-the-president_us_59079979e4b05279d4edbec2,"This weekend Donald Trump continued his war on the media. While Trump’s statements should cause concern, a president loathing",2017-05-01
4253,POLITICS,"Turns Out The New, Improved Trump Is Not So Improved Without His Script",S.V. Date,https://www.huffingtonpost.com/entry/trump-scriptless-meltdown_us_57e9f7d0e4b082aad9b6ad5e,"In his biggest test since adopting his teleprompter, Donald Trump reminds everyone why his staff insisted he use one.",2016-09-27
4254,STYLE,Kanye West Is Opening 21 Pablo Pop-Up Shops This Weekend,Jamie Feldman,https://www.huffingtonpost.com/entry/kanye-west-pablo-pop-up_us_57b5b78ce4b095b2f542ab21,You're FourFive Seconds from some Pablo merch.,2016-08-18
4255,POLITICS,Will The Empire Strike Back? Hopes And Fears In The GOP Establishment.,,https://www.huffingtonpost.comhttps://www.washingtonpost.com/politics/will-the-empire-strike-back-hopes-and-fears-in-the-gop-establishment/2016/01/30/0a2e87f8-c6ee-11e5-a4aa-f25866ba0dc6_story.html,This is it. The party's mainstream is feeling the heat.,2016-01-30
4256,POLITICS,"How America 'Won' Its Independence 2 Years After July 4, 1776","John A. Tures, ContributorPolitical science professor, LaGrange College in Georgia",https://www.huffingtonpost.com/entry/how-america-won-its-indep_b_7721366.html,"I'm sure several of you are shaking your heads, wondering if I got the title wrong.  But while American political figures officially declared their independence on July 4, 1776, winning it was another matter.  And that came on a hot day in June, instead of a cold day in December.",2015-07-03
4257,POLITICS,Donald Trump's Calls For Violence Spill Into Supreme Court Fight,Jennifer Bendery,https://www.huffingtonpost.com/entry/donald-trump-violence-supreme-court_us_56e33f1ae4b0860f99d91dcb,"""Beat 'em up!"" someone shouts at people protesting Sen. Orrin Hatch.",2016-03-12
4258,STYLE,Will Donkey Milk Make Your Skin More Beautiful?,,https://www.huffingtonpost.com/entry/donkey-milk-skin_n_6541240.html,,2015-01-25
4259,POLITICS,This 28-Year-Old Is Running For Congress To Try To Destroy U.S.-Saudi Relations,Akbar Shahid Ahmed,https://www.huffingtonpost.com/entry/alex-beinstein-saudi-arabia-congress_us_572257f3e4b01a5ebde4f58e,"Barack Obama, Paul Ryan and others are protecting the kingdom for their own financial gain, Republican hopeful Alex Beinstein alleges.",2016-04-30
4260,POLITICS,You Probably Learned A Glossed-Over Version Of Native American History In School,Rebecca Klein,https://www.huffingtonpost.com/entry/native-american-history-in-school_n_6227134.html,,2014-11-26
4261,POLITICS,Journalist Arrested During Ferguson Protest Is Convicted,Mariah Stewart,https://www.huffingtonpost.com/entry/mary-moore-journalist-ferguson_us_56ccda2ce4b0928f5a6d99fc,Videographer Mary Moore is among more than two dozen news professionals arrested covering protests since the police killing of teenager Michael Brown.,2016-03-18
4262,POLITICS,"Trump’s Latest Foreign Policy Chaos Further Diminishes U.S. Standing, Critics Worry",S.V. Date,https://www.huffingtonpost.com/entry/trump-foreign-chaos_us_5ad7af8ee4b0e4d0715ce555,"If the world hadn’t figured out that the president’s words mean almost nothing, this past week made it clear.",2018-04-18
4263,POLITICS,House Republicans Are Working On A Plan To Help Puerto Rico,,https://www.huffingtonpost.comhttp://www.nytimes.com/2016/03/25/business/dealbook/plan-to-rescue-puerto-rico-advances-led-by-house-republicans.html?smid=tw-share,And Democrats say GOP leaders are negotiating in good faith.,2016-03-25
4264,POLITICS,Donald Trump's Unrequited Love Affair With The Huffington Post,Janie Velencia,https://www.huffingtonpost.com/entry/trump-loves-huffington-post_us_56b26d67e4b01d80b244f42f,"Uhhh, this is awkward.",2016-02-04
4265,POLITICS,Donald Trump Tweets U.S. 'Would Be Delighted' To Help Terminally Ill U.K. Infant,Elise Foley,https://www.huffingtonpost.com/entry/donald-trump-charlie-gard_us_595a5b50e4b05c37bb7f9f13,Charlie Gard is set to be taken off life support after a lengthy court battle.,2017-07-03
4266,STYLE,"Demi Lovato's Bronze Glow, And More Celebrity Beauty Looks We Love",Dana Oliver,https://www.huffingtonpost.com/entry/demi-lovato-vmas-makeup-best-beauty-list_us_55e87bcde4b0aec9f3567555,Radiant skin is where it's at.,2015-09-04
4267,POLITICS,McCain Undergoes Surgery To Treat Intestinal Infection,"Mohammad Zargham, Reuters",https://www.huffingtonpost.com/entry/mccain-surgery-infection_us_5ad53a3ee4b0edca2cbd05ad,"The senator is in stable condition, his office said in a statement.",2018-04-17
4268,POLITICS,2 Women Accuse Democratic Assemblyman Of Sexual Harassment And Assault,Jenavieve Hatch,https://www.huffingtonpost.com/entry/matt-dababaneh-accused-sexual-assault_us_5a25b85de4b086e4e503c8fa,Matt Dababneh allegedly forced a woman to watch him masturbate in January 2016.,2017-12-04
4269,POLITICS,U.S. Senate Votes To Overturn Obama Broadband Privacy Rules,,https://www.huffingtonpost.com/entry/senate-online-privacy_us_58d40d48e4b0b22b0d1ae387,"McConnell claims the bill overturns regulation that “makes the internet an uneven playing field.""",2017-03-23
4270,POLITICS,GOP Senators Still Not Flocking To Cruz,,https://www.huffingtonpost.comhttp://www.realclearpolitics.com/articles/2016/04/08/gop_senators_still_not_flocking_to_cruz_130230.html,"In the topsy-turvy race for president, Ted Cruz has emerged as the clear GOP alternative to Donald Trump, but even if he’s",2016-04-08
4271,POLITICS,"Donald Trump Is In Serious Trouble, Judging From Post-Debate Polls",Janie Velencia,https://www.huffingtonpost.com/entry/donald-trump-post-debate-polls_us_57f3bd87e4b0d0e1a9a9b3d4,And history suggests his chances for recovery are bleak.,2016-10-04
4272,POLITICS,The U.S. Elected The First Woman To Congress 100 Years Ago,Adam Hamze,https://www.huffingtonpost.com/entry/first-woman-congress_us_5820b237e4b0e80b02cb7ba0,The anniversary comes one day before America could elect its first woman president.,2016-11-07
4273,STYLE,Christie Brinkley Launching Skincare Line,,https://www.huffingtonpost.com/entry/christie-brinkley-launch-skincare_n_6199482.html,,2014-11-21
4274,POLITICS,Barack Obama Is Fourth President to Put Americans At Risk In Iraq: Let Those Threatened by the Islamic State Fight It,"Doug Bandow, ContributorContributing writer, policy analyst",https://www.huffingtonpost.com/entry/barack-obama-is-fourth-pr_b_5783292.html,"Unless President Obama pulls back quickly, his administration risks becoming absorbed in another interminable, unnecessary war in Mesopotamia with unpredictable but almost certainly negative consequences.",2014-09-08
4275,STYLE,Whitney Port Wore A Sheer Fishnet Dress To The Golden Globes,Jamie Feldman,https://www.huffingtonpost.com/entry/whitney-port-sheer-dress-mesh-fishnet_us_5693ad38e4b0cad15e656c73,"Well, this is different.",2016-01-11
4276,POLITICS,States Work To Help People With Disabilities Find Work,"Sophie Quinton, Pew's Stateline",https://www.huffingtonpost.com/entry/employment-people-with-disabilities_us_55fad088e4b00310edf5f1a6,The term “people with disabilities” encompasses people with all types of mental and physical disabilities.,2015-09-17
4277,STYLE,Hostess Gifts for the Holidays,"Colleen Mullaney, ContributorLifestyle expert",https://www.huffingtonpost.com/entry/hostess-gifts-for-the-hol_b_6292016.html,,2014-12-11
4278,POLITICS,Trump Becomes First Sitting President To Address Anti-LGBTQ Event,Paige Lavender,https://www.huffingtonpost.com/entry/donald-trump-values-voter-summit_us_59e0b596e4b03a7be57fe666,"He spoke about religious oppression, the recent hurricanes and the Las Vegas shooting, among other things.",2017-10-13
4279,POLITICS,Trump Suggests Russia Probe Investigate Clinton Amid Reports Of Grand Jury,Lydia O'Connor,https://www.huffingtonpost.com/entry/trump-rally-russia-probe_us_598394efe4b08b75dcc600dc,"“What the prosecutors should be looking at are Hillary Clinton’s 33,000 deleted emails.”",2017-08-04
4280,POLITICS,"HUFFPOST HILL - President Trump To Feel Your Pain, Inner Thighs",Eliot Nelson and Jeffrey Young,https://www.huffingtonpost.com/entry/huffpost-hill-president-trump-to-feel-your-pain-inner-thighs_us_57e2fc0ce4b08d73b82f5b5a,Like what you read below? Sign up for HUFFPOST HILL and get a cheeky dose of political news every evening A poll finds the,2016-09-21
4281,POLITICS,GOP Platform Set To Criticize Obama Administration Crackdown On Colleges Mishandling Rape,Tyler Kingkade,https://www.huffingtonpost.com/entry/gop-platform-campus-rape_us_57843d12e4b07c356cfe48a7,Language about sexual assault on college campuses puts the Republican party at odds with rape victim advocacy groups.,2016-07-12
4282,POLITICS,Getting Our Pennies in Priority for Tax Day,"Susan Shaer, ContributorFormer Executive Director of WAND, Women's Action for New Dire...",https://www.huffingtonpost.com/entry/getting-our-pennies-in-pr_b_7070188.html,"We are what we spend. If we let the Pentagon consume the largest part of our discretionary budget, then we give license to be defined in those terms. We will continue to address global problems with bombs rather than diplomacy. We should not be satisfied with that.",2015-04-15
4283,STYLE,PHOTOS: Rihanna Wigs Out With Pink Hair,Dana Oliver,https://www.huffingtonpost.com/entry/rihanna-pink-wig_n_5336135.html,,2014-05-16
4284,POLITICS,We Need A President Who Will Continue Obama’s Climate Legacy -- Not Destroy It,Dominique Mosbergen,https://www.huffingtonpost.com/entry/obama-climate-legacy-election_us_57fc7dace4b0e655eab74e25,Obama has helped transform the U.S. into a global climate leader. The wrong successor could undo this progress.,2016-10-11
4285,POLITICS,'Virtually Every Alt-Right Nazi I Know Is Volunteering For The Trump Campaign',Ed Mazza,https://www.huffingtonpost.com/entry/donald-trump-neo-nazi-volunteers_us_57edb7f9e4b0c2407cdd249a,More white supremacists come out for the Republican presidential candidate.,2016-09-30
4286,POLITICS,Newt Gingrich Defends Donald Trump By Accusing Megyn Kelly Of Being Obsessed With Sex,Elise Foley,https://www.huffingtonpost.com/entry/newt-gingrich-megyn-kelly_us_58100cbfe4b02b1d9e63ad23,"She told him to take his ""anger issues and spend some time working on them.""",2016-10-26
4287,POLITICS,Obama Administration Wants To Welcome Even More Refugees Next Year,Elise Foley,https://www.huffingtonpost.com/entry/obama-refugee-resettlement_us_57d8a9fee4b09d7a68808947,Some Republicans aren't happy.,2016-09-14
4288,POLITICS,Democratic Lawmaker Gives Scott Pruitt Brutal Reality Check During Senate Hearing,Rebecca Shapiro,https://www.huffingtonpost.com/entry/patrick-leahy-scott-pruitt-epa_us_5afc81d4e4b06a3fb50d14f0,Burn.,2018-05-16
4289,STYLE,5 Makeup Looks For A Night Out That Don't Involve Red Lipstick,Dana Oliver,https://www.huffingtonpost.com/entry/makeup-for-night-looks-tips_us_56336564e4b00aa54a4db1bf,BEA-U-TIFUL!,2015-10-31
4290,POLITICS,Julia Louis-Dreyfus Confirms Washington Is Just As Ridiculous As 'Veep' Portrays It,Alana Horowitz Satlin,https://www.huffingtonpost.com/entry/julia-louis-dreyfus-veep-parody_us_5721c213e4b01a5ebde48c1c,"""We create situations that are plausible.""",2016-04-28
4291,POLITICS,Lindsey Graham Chastises Republicans Happy About Hacking: 'You're Not A Patriot',Amanda Terkel,https://www.huffingtonpost.com/entry/lindsey-graham-hacking_us_5872a655e4b043ad97e3cfad,"""When one party is compromised, all of us are compromised,"" the GOP senator said.",2017-01-08
4292,STYLE,The Twins That Have Way More Swagger Than You,Megan Mayer,https://www.huffingtonpost.com/entry/stylish-twins-on-instagram_n_5862308.html,,2014-09-28
4293,POLITICS,Trump Terrible 10: Big Olde' Fat Man Edition,"David Halperin, ContributorAttorney, advocate, writer at RepublicReport.org",https://www.huffingtonpost.com/entry/trump-terrible-10-big-olde-fat-man-edition_us_5a08e3dfe4b0ee8ec36942d5,Ranking the week’s 10 most disgraceful figures in Trump world.,2017-11-13
4294,STYLE,President Obama's Body Image Comments Will Melt Your Heart,Jamie Feldman,https://www.huffingtonpost.com/entry/president-obama-body-image_us_56e6b616e4b065e2e3d66747,D'awwwwwwwww.,2016-03-14
4295,POLITICS,Police Union Chief: Tamir Rice Family Should Use Settlement Funds On Gun Education For Kids,Cristian Farias,https://www.huffingtonpost.com/entry/police-union-chief-tamir-rice_us_571e924be4b01a5ebde30e3e,But no word on whether the cops he represents need similar training.,2016-04-26
4296,POLITICS,House Passes Tax Extenders Legislation Despite Democratic Objections,Matt Fuller,https://www.huffingtonpost.com/entry/house-tax-extenders_us_5672ed16e4b0648fe3027f88,The bill could add $600 billion to the national debt over the next 10 years.,2015-12-17
4297,STYLE,"On This Week's Cheap Celeb Finds List, Blake Lively Wears Tevas",Michelle Persad,https://www.huffingtonpost.com/entry/cheap-celebrity-finds_us_559fd1c5e4b05b1d02901f64,"BB Dakota Heleen Femme Dress, $105  Kendall Jenner's Dress PRISMSPORT Batik Capri Leggings, $82 Blake Lively's Tevas American",2015-07-11
4298,POLITICS,"Signs of Change: A Flag, A Shirt...","Rick Horowitz, ContributorMilwaukee Public TV Commentator, Writing Coach, Writing & ...",https://www.huffingtonpost.com/entry/symbols-of-change-a-flag_b_7726454.html,"Our nation's biggest arguments are often captured in majestic words, or dramatic photos. But sometimes it's a simple piece of cloth...",2015-07-04
4299,STYLE,Prince Harry Opens Up About His 'Fantastic' Christmas With Meghan Markle,Carly Ledbetter,https://www.huffingtonpost.com/entry/prince-harry-meghan-markle-christmas_us_5a4397ffe4b025f99e18edc1,He also hinted about inviting former President Barack Obama to his wedding.,2017-12-27
4300,POLITICS,Dave Reichert Midterm Election Results: Reichert Defeats Democrat Jason Ritchie,Paige Lavender,https://www.huffingtonpost.com/entry/dave-reichert-midterm-election-results_n_5832022.html,,2014-11-05
4301,POLITICS,Ferguson Lawmakers Approve Deal To Curb Abusive Policing,Ryan J. Reilly and Mariah Stewart,https://www.huffingtonpost.com/entry/ferguson-police-doj-agreement_us_56e87229e4b0860f99dac220,The agreement between DOJ and the St. Louis suburb requires an overhaul of their law enforcement agency and municipal court system.,2016-03-15
4302,POLITICS,"Paul Ryan Is A Speaker Everyone Can Get Behind, But It Wasn't Always That Way","Laura Barrón-López, Arthur Delaney, and Michael McAuliff",https://www.huffingtonpost.com/entry/paul-ryan-speaker-poverty_us_5633f4d1e4b0c66bae5c9d03,"Republicans and Democrats see in Ryan someone who actually has a chance, slim as it may be, to repair the divides in Congress.",2015-11-01
4303,POLITICS,"After Charleston, Americans Increasingly Concerned About Racism",Yujia Pan,https://www.huffingtonpost.com/entry/after-charleston-americans-increasingly-concerned-about-racism_us_55a82fbae4b0896514d0e060,Americans' level of concern about racism has spiked yet again in the wake of last month's shooting at a black church in Charleston,2015-07-16
4304,STYLE,Black Model Is 'Tired Of Apologizing For [Her] Blackness',Julee Wilson,https://www.huffingtonpost.com/entry/nykhor-paul-white-people-fashion-world-tired-apologizing-blackness_n_7744134.html,,2015-07-07
4305,POLITICS,"Bernie Sanders Made Jewish History, Yet No One Seems To Be Kvelling",Sam Stein,https://www.huffingtonpost.com/entry/bernie-sanders-jews-new-hampshire_us_56b3ca98e4b01d80b245adc1,"New Hampshire's Jews -- yes, they exist -- aren't even talking about it.",2016-02-05
4306,POLITICS,Read Live Updates On The Women's March On Washington,Paige Lavender,https://www.huffingtonpost.com/entry/womens-march-on-washington-live-updates_us_588377bfe4b0e3a735693347,"""Human rights are women's rights, and women's rights are human rights."" -- Hillary Clinton",2017-01-21
4307,STYLE,The Fashion World Is Really Trying To Make Crocs 'It' Shoes,Jenna Amatulli,https://www.huffingtonpost.com/entry/the-fashion-world-is-really-trying-to-make-crocs-it-shoes_us_57e019dfe4b08cb140970a42,Would you rock these Crocs?,2016-09-19
4308,POLITICS,Judge Says Secret Log Shows OC Sheriff's Deputies Dealt 'Extensively' With Jail Informants,Matt Ferner,https://www.huffingtonpost.com/entry/oc-jailhouse-informant-program_us_57b75d78e4b00d9c3a17a4b1,"The log shows that sheriff's deputies actively ""cultivated,"" ""recruited and utilized"" informants in county jails -- in secret, for years.",2016-08-20
4309,POLITICS,Donald Trump Said Some Things About Energy,Kate Sheppard,https://www.huffingtonpost.com/entry/donald-trump-energy_us_57475807e4b055bb1171a811,"""Imagine a world"" where America has complete energy independence. Imagine -- it's easy if you try.",2016-05-26
4310,POLITICS,"'Everybody' Arrested In Ferguson Last August Is Being Charged, Lawyers Say",Mariah Stewart and Ryan J. Reilly,https://www.huffingtonpost.com/entry/st-louis-county-charges_us_55d38848e4b0ab468d9eaf9f,"Filing questionable charges a year later is ""like picking the scab off,"" says ACLU lawyer.",2015-08-19
4311,POLITICS,Lessons from the Battlefield,"Pat LaMarche, ContributorWriter, broadcaster and columnist",https://www.huffingtonpost.com/entry/lessons-from-the-battlefi_b_6978188.html,"Carlisle, Pennsylvania, a community that was there for the Revolutionary War, the Civil War, and educator to the commanders of our all our modern conflicts, has dedicated its resources to fighting the war on the poor. But the evidence this loving community has gathered on the battlefield is ignored.",2015-04-01
4312,POLITICS,,Ryan J. Reilly,https://www.huffingtonpost.com/entry/obama-clemency-drug-sentences_us_581256dee4b064e1b4b149b3,Obama's clemency total now stands at 872.,2016-10-27
4313,POLITICS,HUFFPOST HILL - War On Whites Rages: Zeroes Of People Dead,Eliot Nelson,https://www.huffingtonpost.com/entry/huffpost-hill_n_5652637.html,,2014-08-05
4314,POLITICS,HUFFPOLLSTER: Support For The GOP Frontrunner Might Just Be Overstated,"Mark Blumenthal, Ariel Edwards-Levy, and Janie Velencia",https://www.huffingtonpost.com/entry/support-for-the-gop-frontrunner-overstated_us_55e04fc6e4b0aec9f352d511,"A different kind of poll finds support for Donald Trump could be overstated, but he still runs ahead. Pollsters are shaking their heads (and legs) over Trump's rise. And A decade after Katrina, polls continue to show a racial divide in opinions. This is HuffPollster for Friday, August 28, 2015.",2015-08-28
4315,POLITICS,Giuliani Says Mueller Can't Talk To Trump Until Trump Hears More About FBI Source,S.V. Date and Ryan J. Reilly,https://www.huffingtonpost.com/entry/giuliani-mueller-trump-fbi-source_us_5b032010e4b07309e05b3820,"“We can’t let our guy go in and be questioned without knowing this,” the president's lawyer said.",2018-05-21
4316,STYLE,17 Of The Most Obvious Ways To Broadcast Your Love For Cats,Minou Clark,https://www.huffingtonpost.com/entry/cat-lovers-jewelry-style_us_580e4567e4b0a03911edf980,You've CAT to check these items out right MEOW!,2016-10-25
4317,POLITICS,Dreamer Sues To Unblock The President's Biggest Immigration Proposal Yet,Cristian Farias,https://www.huffingtonpost.com/entry/deferred-action-lawsuit-new-york_us_57bf615fe4b04193420e6905,A Texas judge's decision has halted deferred action even in states that didn't oppose it.,2016-08-26
4318,POLITICS,Jeb Bush: The Pope Shouldn't Discuss Climate Change Because 'He's Not A Scientist',Marina Fang,https://www.huffingtonpost.com/entry/jeb-bush-climate-change-pope_us_56047a10e4b08820d91c57bc,"""Put aside Pope Francis on the subject of any political conversation.""",2015-09-24
4319,POLITICS,Roger Ailes' Son Says He's 'Coming After' Those Who 'Betrayed' His Late Father,Hilary Hanson,https://www.huffingtonpost.com/entry/roger-ailes-son-coming-after-betrayed-funeral_us_5921acafe4b094cdba54c0f7,The threat comes after Ailes' public downfall in the wake of sexual harassment allegations.,2017-05-21
4320,POLITICS,The GOP's Hard -- And Unlearnable? -- Lesson,,https://www.huffingtonpost.comhttp://www.realclearpolitics.com/articles/2015/10/11/the_gops_hard__and_unlearnable__lesson__128369.html,"The Framers of our Constitution, like the good Lord Almighty, seemingly had a droll sense of humor. In creating the title",2015-10-12
4321,POLITICS,GOP Presidential Hopefuls Stretch The Facts During Fox News Debate,"Eugene Kiely, Brooks Jackson, Lori Robertson, Robert Farley, D’Angelo Gore & Raymond McCormack, FactCheck.org",https://www.huffingtonpost.com/entry/gop-debate-fact-check_us_56ab6e56e4b077d4fe8da9e1,"There was no Donald Trump, but plenty to fact-check in the last GOP debate before the Iowa caucuses.",2016-01-29
4322,POLITICS,This U.S. Citizen Is Voting Because His Undocumented Sister Can't,Elise Foley,https://www.huffingtonpost.com/entry/nevada-dreamer-election_us_5810c69ae4b02b1d9e63fbbe,"Undocumented immigrants can't vote, but many of the people who love them can.",2016-10-27
4323,POLITICS,Donald Trump's Anti-Science Agenda Leaves Stephen Hawking Feeling Unwelcome In U.S.,Chris D'Angelo,https://www.huffingtonpost.com/entry/stephen-hawking-donald-trump_us_58d016cee4b00705db51828d,The famed physicist urges the president to boot his climate-denying Environmental Protection Agency chief.,2017-03-20
4324,STYLE,How To Wash All Your (Secretly Disgusting) Scarves,"PureWow, ContributorWhat your girl crush reads online",https://www.huffingtonpost.com/entry/how-to-wash-all-your-secretly-disgusting-scarves_us_59e5213fe4b04e9111a3e431,We like to fancy ourselves ladies with proper hygiene. But there are inevitably a few wardrobe pieces that somehow miss the cleaning schedule.,2017-10-16
4325,POLITICS,Senate Dems Leave No Room For Ambiguity In Denouncing Al Franken,Lydia O'Connor,https://www.huffingtonpost.com/entry/democrat-senators-al-franken-allegations_us_5a0dc761e4b0c0b2f2f89dfc,"A woman has accused the senator of groping her without consent, and his colleagues say the claims should be taken seriously.",2017-11-16
4326,POLITICS,Mythical Numbers and Satanic Ritual Abuse,"Ross Cheit, ContributorProfessor at Brown University",https://www.huffingtonpost.com/entry/mythical-numbers-and-sata_b_5578078.html,"It's a mythical number that skeptics never question.  And it's come up again and again in the national press for decades. It's purportedly the number of victims from the infamous child sexual abuse cases of the 1980s and 1990s.  Not child victims, though.",2014-07-11
4327,POLITICS,Iraqis Accuse Blackwater Of Killings In U.S. Court,,https://www.huffingtonpost.com/entry/in-a-us-court-iraqis-accu_n_5533234.html,,2014-06-26
4328,POLITICS,"Dennis Hastert Accused Of Sexual Abuse By At Least 4, Sources Say",,https://www.huffingtonpost.comhttp://www.chicagotribune.com/news/watchdog/ct-dennis-hastert-investigation-met-20160406-story.html,"For months, federal authorities have hinted at the motive behind the hush-money payments former U.S. House Speaker Dennis",2016-04-07
4329,POLITICS,Monday's Morning Email: Obamacare Repeal Still Alive,Eliot Nelson,https://www.huffingtonpost.com/entry/mondays-morning-email-obamacare-repeal-still-alive_us_596c9b47e4b0d6341fea37dd,The GOP dream is still alive...if barely.,2017-07-17
4330,POLITICS,Donald Trump And Mike Pence Have Their Own Issues With Emails And Transparency,Igor Bobic,https://www.huffingtonpost.com/entry/trump-pence-emails_us_5817470ee4b0390e69d11e71,Both men have acted to shield their own electronic communication from the public eye.,2016-10-31
4331,POLITICS,Over 100 Education Groups Want To Kick Cops Out Of Schools,Rebecca Klein,https://www.huffingtonpost.com/entry/police-in-schools_us_57e01ac5e4b0071a6e0897b2,They say school-based police do much more harm than good.,2016-09-21
